"id","est","fecha","altura","caudal","velocidad","superficie","metodo_aforo","observaciones"
"1","AN439","1971-01-01","0.14","1.49",NULL,NULL,"MOLINETE","SIN FECHA"
"2","AN439","1971-01-01","0.11","0.785",NULL,NULL,"MOLINETE","SIN FECHA"
"3","AN439","1971-01-01","0.3","4.816",NULL,NULL,"MOLINETE","SIN FECHA"
"4","AN439","1971-01-01","0.53","7.85",NULL,NULL,"MOLINETE","SIN FECHA"
"5","AN439","1971-01-01","1.32","52.617",NULL,NULL,"MOLINETE","SIN FECHA"
"6","AN439","1971-01-01","0.94","17.23",NULL,NULL,"MOLINETE","SIN FECHA"
"7","AN439","1971-01-01","0.92","10.64",NULL,NULL,"MOLINETE","SIN FECHA"
"8","AN314","1974-04-17","0.65","3.655","0.39556277","9.24","MF_PRO",NULL
"9","AN322","1982-09-09","0.47","0.397",NULL,NULL,"MOLINETE",NULL
"10","AN434","1982-09-15","0.63","0.075",NULL,NULL,"MOLINETE",NULL
"11","AN322","1982-10-28","0.59","1.447",NULL,NULL,"MOLINETE","MAL"
"12","AN434","1982-11-09","0.8","2.03",NULL,NULL,"MOLINETE",NULL
"13","AN322","1982-11-11","0.82","1.85",NULL,NULL,"MOLINETE","MAL"
"14","AN434","1983-02-25","1.39","15.5",NULL,NULL,"MOLINETE",NULL
"15","AN322","1983-02-26","1.76","26.98",NULL,NULL,"MOLINETE",NULL
"16","AN434","1983-04-16","0.79","2.251",NULL,NULL,"MOLINETE",NULL
"17","AN322","1983-04-28","0.73","3.745",NULL,NULL,"MOLINETE",NULL
"18","AN434","1983-05-04","0.69","0.603",NULL,NULL,"MOLINETE",NULL
"19","AN322","1983-10-10","0.47","0.407",NULL,NULL,"MOLINETE",NULL
"20","AN322","1984-02-10","1.26","14.758",NULL,NULL,"MOLINETE",NULL
"21","AN434","1984-03-24","0.95","5.741",NULL,NULL,"MOLINETE",NULL
"22","AN322","1984-03-28","0.87","5.517",NULL,NULL,"MOLINETE",NULL
"23","AN941","1984-12-13","0.17","3.086",NULL,NULL,"MOLINETE",NULL
"24","AN941","1985-01-19","0.59","22.95",NULL,NULL,"MOLINETE",NULL
"25","AN941","1985-02-05","0.22","4.504",NULL,NULL,"MOLINETE",NULL
"26","AN941","1985-02-14","0.31","6.622",NULL,NULL,"MOLINETE",NULL
"27","AN322","1985-04-01","0.75","4.545",NULL,NULL,"MOLINETE",NULL
"28","AN434","1985-04-02","0.87","4.257",NULL,NULL,"MOLINETE",NULL
"29","AN322","1985-04-16","0.7","3.178",NULL,NULL,"MOLINETE",NULL
"30","AN434","1985-04-17","0.83","2.77",NULL,NULL,"MOLINETE",NULL
"31","AN941","1985-04-17","0.3","6.157",NULL,NULL,"MOLINETE",NULL
"32","AN941","1985-05-06","1.9","145.2",NULL,NULL,"MOLINETE",NULL
"33","AN439","1985-08-03","0.1","0.773",NULL,NULL,"MOLINETE",NULL
"34","AN421","1985-08-23","0.32","0.156",NULL,NULL,"MOLINETE",NULL
"35","AN941","1985-10-04","0.07","0.642",NULL,NULL,"MOLINETE",NULL
"36","AN422","1985-11-20","0.34","0.038","0.703","0.054","MOLINETE",NULL
"37","AN532","1986-01-22","0.5","0.444",NULL,NULL,"MOLINETE",NULL
"38","AN314","1986-02-04","0.57","8.071",NULL,NULL,"MOLINETE",NULL
"39","AN422","1986-02-06","0.41","0.107","1.11","0.096","MOLINETE",NULL
"40","AN941","1986-02-06","0.34","6.962",NULL,NULL,"MOLINETE",NULL
"41","AN532","1986-02-07","0.35","0.337",NULL,NULL,"MOLINETE",NULL
"42","AN422","1986-02-25","0.52","0.168","1.03","0.163","MOLINETE","MAL"
"43","AN532","1986-03-13","0.7","4.166",NULL,NULL,"MOLINETE","MAL"
"44","AN941","1986-03-13","1.3","112.47",NULL,NULL,"MOLINETE",NULL
"45","AN421","1986-03-21","0.44","0.968",NULL,NULL,"MOLINETE",NULL
"46","AN434","1986-03-21","1.02","8.905",NULL,NULL,"MOLINETE",NULL
"47","AN532","1986-05-21","0.25","0.241",NULL,NULL,"MOLINETE",NULL
"48","AN434","1986-06-09","0.71","1.135",NULL,NULL,"MOLINETE",NULL
"49","AN314","1986-06-12","0.23","2.076",NULL,NULL,"MOLINETE",NULL
"50","AN532","1986-06-14","0.15","0.117",NULL,NULL,"MOLINETE",NULL
"51","AN532","1986-07-15","0.08","0.062",NULL,NULL,"MOLINETE",NULL
"52","AN421","1986-09-01","0.29","0.061",NULL,NULL,"MOLINETE",NULL
"53","AN314","1986-10-11","0.15","1.102",NULL,NULL,"MOLINETE",NULL
"54","AN313","1986-10-31","0.41","0.281",NULL,NULL,"MOLINETE","Q=exp(-13.98+7h)"
"55","AN532","1986-11-25","0.4","0.034",NULL,NULL,"MOLINETE",NULL
"56","AN4311","1987-02-05","0.41","11.398",NULL,NULL,"MOLINETE",NULL
"57","AN422","1987-02-14","0.72","1.209","1.04","1.162","MOLINETE",NULL
"58","AN313","1987-02-17","0.94","7.026",NULL,NULL,"MOLINETE","Mal"
"59","AN314","1987-02-17","0.54","8.6",NULL,NULL,"MOLINETE",NULL
"60","AN421","1987-02-17","0.41","0.519",NULL,NULL,"MOLINETE",NULL
"61","AN422","1987-02-18","0.57","0.318","0.859","0.37","MOLINETE","MAL"
"62","AN314","1987-02-21","0.44","6.49",NULL,NULL,"MOLINETE",NULL
"63","AN313","1987-03-07","0.74","4.049",NULL,NULL,"MOLINETE",NULL
"64","AN313","1987-03-18","0.64","2.253",NULL,NULL,"MOLINETE",NULL
"65","AN941","1987-04-01","0.51","18.012",NULL,NULL,"MOLINETE",NULL
"66","AN313","1987-05-03","0.64","2.24",NULL,NULL,"MOLINETE",NULL
"67","AN314","1987-05-14","0.3","3.139",NULL,NULL,"MOLINETE",NULL
"68","AN313","1987-05-27","0.56","1.767",NULL,NULL,"MOLINETE",NULL
"69","AN314","1987-05-27","0.25","2.715",NULL,NULL,"MOLINETE",NULL
"70","AN322","1987-05-27","0.51","1.671",NULL,NULL,"MOLINETE",NULL
"71","AN4311","1987-05-28","0.07","0.61",NULL,NULL,"MOLINETE",NULL
"72","AN439","1987-05-28","0.21","2.124",NULL,NULL,"MOLINETE",NULL
"73","AN532","1987-05-29","0.13","0.118",NULL,NULL,"MOLINETE",NULL
"74","AN313","1987-09-04","0.32","0.098",NULL,NULL,"MOLINETE",NULL
"75","AN314","1987-09-04","0.12","0.967",NULL,NULL,"MOLINETE",NULL
"76","AN421","1987-10-02","0.3","0.041","0.639","0.065","MOLINETE",NULL
"77","AN422","1987-10-02","0.3","0.016",NULL,NULL,"MOLINETE",NULL
"78","AN532","1987-10-15","0.07","0.037",NULL,NULL,"MOLINETE",NULL
"79","AN530","1987-11-05","0.14","0.119","0.426",NULL,"MOLINETE",NULL
"80","AN421","1987-11-11",NULL,"0.153","0.467","0.327","MOLINETE",NULL
"81","AN422","1987-11-11","0.43","0.215","0.255","0.842","MOLINETE","H(0.21/0.03)"
"82","AN322","1987-11-13","0.58","2.666",NULL,NULL,"MOLINETE",NULL
"83","AN331","1987-11-13","0.21","0.212","1.05",NULL,"MOLINETE",NULL
"84","AN530","1987-11-18","0.3","0.49",NULL,NULL,"MOLINETE",NULL
"85","AN421","1987-11-24","0.4","0.5",NULL,NULL,"MOLINETE",NULL
"86","AN422","1987-11-24","0.44","0.381",NULL,NULL,"MOLINETE",NULL
"87","AN421","1987-11-27","0.43","0.682",NULL,NULL,"MOLINETE",NULL
"88","AN422","1987-12-01","0.49","0.645",NULL,NULL,"MOLINETE","SIN FECHA"
"89","AN313","1987-12-16","0.79","5.944",NULL,NULL,"MOLINETE",NULL
"90","AN314","1987-12-16","0.41","6.672",NULL,NULL,"MOLINETE",NULL
"91","AN331","1987-12-16","0.4","1.048",NULL,NULL,"MOLINETE",NULL
"92","AN421","1988-01-11","0.37","0.369",NULL,NULL,"MOLINETE",NULL
"93","AN422","1988-01-11","0.46","0.344",NULL,NULL,"MOLINETE",NULL
"94","AN530","1988-01-12","0.37","0.978",NULL,NULL,"MOLINETE",NULL
"95","AN532","1988-01-12","0.58","0.6",NULL,NULL,"MOLINETE","LIMNIGRAFO"
"96","AN533","1988-01-12","0.73","1.366",NULL,NULL,"MOLINETE",NULL
"97","AN421","1988-01-18","0.39","0.547",NULL,NULL,"MOLINETE",NULL
"98","AN422","1988-01-18","0.46","0.519",NULL,NULL,"MOLINETE",NULL
"99","AN530","1988-01-19","0.44","1.846",NULL,NULL,"MOLINETE",NULL
"100","AN533","1988-01-19","0.73","1.37",NULL,NULL,"MOLINETE",NULL
"101","AN313","1988-01-20","0.9","7.865",NULL,NULL,"MOLINETE",NULL
"102","AN421","1988-01-22",NULL,"1.844",NULL,NULL,"FLOTADOR",NULL
"103","AN434","1988-01-26","0.89","3.305",NULL,NULL,"MOLINETE",NULL
"104","AN313","1988-01-27","0.93","8.921",NULL,NULL,"MOLINETE",NULL
"105","AN314","1988-01-27","0.52","9.42",NULL,NULL,"MOLINETE","M RIEGOS"
"106","AN322","1988-01-27","0.77","6.373",NULL,NULL,"MOLINETE",NULL
"107","AN331","1988-01-27","0.39","0.78",NULL,NULL,"MOLINETE","M D RIEGOS"
"108","AN530","1988-01-28","0.47","2.408",NULL,NULL,"MOLINETE","M RIEGOS"
"109","AN422","1988-01-29","0.5","0.869",NULL,NULL,"MOLINETE",NULL
"110","AN530","1988-02-02","0.59","5.421",NULL,NULL,"MOLINETE","M RIEGOS"
"111","AN532","1988-02-02","0.7","2.316",NULL,NULL,"MOLINETE","M RIEGOS"
"112","AN533","1988-02-02","1.02","4.923",NULL,NULL,"MOLINETE","MOL RIEGOS"
"113","AN421","1988-02-05","0.41","0.631",NULL,NULL,"MOLINETE",NULL
"114","AN422","1988-02-05","0.46","0.481",NULL,NULL,"MOLINETE",NULL
"115","AN421","1988-02-08","0.47","1.622",NULL,NULL,"MOLINETE",NULL
"116","AN422","1988-02-08","0.54","0.852",NULL,NULL,"MOLINETE",NULL
"117","AN421","1988-02-09","0.52","2.307",NULL,NULL,"MOLINETE",NULL
"118","AN422","1988-02-09","0.61","1.899",NULL,NULL,"MOLINETE",NULL
"119","AN530","1988-02-09","0.79","13.892",NULL,NULL,"MOLINETE",NULL
"120","AN532","1988-02-09","0.87","6.315",NULL,NULL,"MOLINETE",NULL
"121","AN533","1988-02-09","1.4","10.517",NULL,NULL,"MOLINETE","C ATERRADO"
"122","AN4311","1988-06-07","0.1","1.004",NULL,NULL,"MOLINETE",NULL
"123","AN434","1988-06-07","0.8","1.185",NULL,NULL,"MOLINETE",NULL
"124","AN439","1988-06-07","0.33","4.032",NULL,NULL,"MOLINETE",NULL
"125","AN533","1988-06-09","0.77","1.469",NULL,NULL,"MOLINETE","C ATERRADO"
"126","AN422","1988-06-10","0.45","0.346",NULL,NULL,"MOLINETE",NULL
"127","AN331","1988-06-16","1.24","24.045",NULL,NULL,"MOLINETE","ALMAX 2.550"
"128","AN331","1988-06-16","1.69","17.236",NULL,NULL,"MOLINETE","ALMIN 0.080"
"129","AN4311","1988-06-21","0.18","3.355",NULL,NULL,"MOLINETE",NULL
"130","AN532","1988-06-24","1.05","13.293",NULL,NULL,"MOLINETE",NULL
"131","AN421","1988-06-28","0.34","0.115",NULL,NULL,"MOLINETE",NULL
"132","AN422","1988-06-28","0.32","0.109",NULL,NULL,"MOLINETE",NULL
"133","AN331","1988-06-29","0.37","0.723",NULL,NULL,"MOLINETE",NULL
"134","AN4311","1988-08-01","0.05","0.397",NULL,NULL,"MOLINETE",NULL
"135","AN434","1988-08-01","0.72","0.373",NULL,NULL,"MOLINETE",NULL
"136","AN530","1988-09-12","0.1","0.074","0.466",NULL,"MOLINETE",NULL
"137","AN422","1988-10-06","0.35","0.027","0.227","0.115","MOLINETE","FANGOS"
"138","AN530","1988-10-10","0.08","0.06",NULL,NULL,"MOLINETE",NULL
"139","AN532","1988-10-10","0.06","0.035",NULL,NULL,"MOLINETE",NULL
"140","AN533","1988-10-10","0.61","0.102",NULL,NULL,"MOLINETE","C ATERRADO"
"141","AN532","1988-10-17","0.11","0.087",NULL,NULL,"MOLINETE",NULL
"142","AN530","1988-10-28","0.09","0.062",NULL,NULL,"MOLINETE",NULL
"143","AN533","1988-10-28","0.6","0.15",NULL,NULL,"MOLINETE","C ATERRADO"
"144","AN434","1988-11-07","0.07","0.015",NULL,NULL,"MOLINETE",NULL
"145","AN532","1988-11-08","0.03","0.018",NULL,NULL,"MOLINETE",NULL
"146","AN313","1988-11-14","0.49","0.853",NULL,NULL,"MOLINETE",NULL
"147","AN314","1988-11-14","0.19","2.33",NULL,NULL,"MOLINETE",NULL
"148","AN322","1988-11-14","0.39","0.587",NULL,NULL,"MOLINETE",NULL
"149","AN532","1988-11-24","0.05","0.026",NULL,NULL,"MOLINETE",NULL
"150","AN331","1988-12-01","0.11","0.09",NULL,NULL,"MOLINETE",NULL
"151","AN530","1988-12-19","0.09","0.044",NULL,NULL,"MOLINETE",NULL
"152","AN322","1989-01-17","0.43","0.671",NULL,NULL,"MOLINETE",NULL
"153","AN532","1989-03-27","0.41","0.309",NULL,NULL,"MOLINETE",NULL
"154","AN533","1989-03-27","0.7","0.756",NULL,NULL,"MOLINETE","C ATERRADO"
"155","AN533","1989-03-31","0.68","0.573",NULL,NULL,"MOLINETE","C ATERRADO"
"156","AN532","1989-04-07","0.62","1.211",NULL,NULL,"MOLINETE",NULL
"157","AN533","1989-04-07","0.78","2.172",NULL,NULL,"MOLINETE","C ATERRADO"
"158","AN532","1989-04-08","0.72","2.989",NULL,NULL,"MOLINETE",NULL
"159","AN533","1989-04-08","1.08","6.38",NULL,NULL,"MOLINETE","C ATERRADO"
"160","AN530","1989-04-14","0.5","3.447",NULL,NULL,"MOLINETE",NULL
"161","AN533","1989-04-18","1.11","5.737",NULL,NULL,"MOLINETE","C ATERRADO"
"162","AN540","1989-05-10","0.07","0.015",NULL,NULL,"FLOTADOR",NULL
"163","AN533","1989-05-25","0.66","0.43",NULL,NULL,"MOLINETE","C ATERRADO"
"164","AN313","1989-05-29","0.53","1.341",NULL,NULL,"MOLINETE",NULL
"165","AN314","1989-05-29","0.19","2.062",NULL,NULL,"MOLINETE",NULL
"166","AN322","1989-05-29","0.47","1.114",NULL,NULL,"MOLINETE",NULL
"167","AN532","1989-06-28","0.25","0.063",NULL,NULL,"MOLINETE","C ATERRADO"
"168","AN313","1989-08-25","0","0.005",NULL,NULL,"MOLINETE",NULL
"169","AN331","1989-08-25","0.01","0.004","0.46",NULL,"MOLINETE",NULL
"170","AN941","1989-08-31","0.08","0.634",NULL,NULL,"MOLINETE",NULL
"171","AN530","1989-09-08","0.05","0.003","0.29","0.1","MOLINETE",NULL
"172","AN433","1989-09-27","0.1","0.461",NULL,NULL,"MOLINETE",NULL
"173","AN434","1989-09-27","0.67","0.195",NULL,"0.378","MOLINETE",NULL
"174","AN439","1989-09-27","0.1","0.467",NULL,"1.517","MOLINETE",NULL
"175","AN313","1989-10-19","0.41","0.162",NULL,"1.315","MOLINETE",NULL
"176","AN314","1989-10-19","0.05","0.596",NULL,"3.367","MOLINETE",NULL
"177","AN331","1989-10-19","0.05","0.015","0.307","0.05","MOLINETE",NULL
"178","AN433","1989-10-20","0.08","0.189",NULL,"2.107","MOLINETE",NULL
"179","AN434","1989-10-20","0.64","0.109",NULL,"0.255","MOLINETE",NULL
"180","AN439","1989-10-20","0.11","0.379",NULL,"1.867","MOLINETE",NULL
"181","AN530","1989-10-23","0.06","0.012","0.2","0.06","MOLINETE",NULL
"182","AN532","1989-10-23","0.05","0.025","1.01","0.025","MOLINETE",NULL
"183","AN533","1989-10-23","0.58","0.061",NULL,"0.609","MOLINETE","C ATERRADO"
"184","AN530","1989-11-16","0.14","0.129","0.471","0.266","MOLINETE",NULL
"185","AN421","1989-11-23","0.25","0.092","0.131","0.614","MOLINETE","2 AFOROS"
"186","AN331","1989-11-24","0.1","0.049","0.49","0.1","FLOTADOR",NULL
"187","AN314","1989-11-24",NULL,"1.449","0.473","2.841","MOLINETE",NULL
"188","AN4311","1989-11-24","0.06","0.415",NULL,NULL,"MOLINETE",NULL
"189","AN433","1989-11-24","0.22","1.604","0.452","3.485","MOLINETE",NULL
"190","AN540","1989-11-24","0.04","0.006","0.05","0.155","MOLINETE",NULL
"191","AN540","1989-12-18","0.03","0.004","0.03","0.152","MOLINETE",NULL
"192","AN313","1989-12-19","0.45","0.557","0.094","5.79","MOLINETE",NULL
"193","AN314","1989-12-19",NULL,"1.627","0.787","1.918","MOLINETE",NULL
"194","AN322","1989-12-19","0.42","0.975","0.547","1.767","MOLINETE",NULL
"195","AN4311","1989-12-19","0.07","0.383","0.186","2.29","MOLINETE",NULL
"196","AN439","1989-12-19","0.17","1.39","0.219","5.816","MOLINETE",NULL
"197","AN532","1989-12-19","0.09","0.194","0.202","0.97","MOLINETE",NULL
"198","AN331","1989-12-20","0.1","0.044","0.44","0.1","FLOTADOR",NULL
"199","AN433","1989-12-20","0.2","1.164","0.395","2.869","MOLINETE",NULL
"200","AN331","1989-12-29","0.1","0.052","0.52","0.1","FLOTADOR",NULL
"201","AN433","1989-12-29","0.32","2.858","0.603","4.883","MOLINETE",NULL
"202","AN422","1990-01-18","0.53","0.662","0.359","1.775","MOLINETE","HOJAS"
"203","AN533","1990-01-18","0.75","1.431","0.423","3.461","MOLINETE","C ATERRADO"
"204","AN533","1990-01-18","0.75","1.431","0.423","3.461","MOLINETE",NULL
"205","AN314","1990-01-19","0.1","3.368","0.824","4.077","MOLINETE",NULL
"206","AN331","1990-01-19","0.2","0.196","0.866","0.252","MOLINETE",NULL
"207","AN4311","1990-01-19","0.2","3.404","0.732","4.621","MOLINETE",NULL
"208","AN434","1990-01-19","0.94","4.429","0.381","11.6","MOLINETE",NULL
"209","AN520","1990-03-02","0.27","0.166","0.828","0.21","MOLINETE",NULL
"210","AN532","1990-04-06","0.62","1.616","0.618","2.225","MOLINETE",NULL
"211","AN533","1990-04-06","1.03","4.441","0.702","6.527","MOLINETE","C ATERRADO"
"212","AN533","1990-04-06","1.03","4.441","0.667","6.527","MOLINETE",NULL
"213","AN520","1990-04-09","0.67","2.342","0.993","2.45","MOLINETE",NULL
"214","AN530","1990-04-09","0.37","0.998","0.306","3.278","MOLINETE",NULL
"215","AN331","1990-04-19","0.23","0.216","0.267","0.729","MOLINETE",NULL
"216","AN433","1990-06-15","0.34","2.716","0.782","3.733","MOLINETE",NULL
"217","AN314","1990-08-17",NULL,"0.64","0.253","2.636","MOLINETE",NULL
"218","AN314","1990-09-20","0.26","0.507","1.04","0.487","MOLINETE",NULL
"219","AN520","1990-10-23","0.27","0.203","0.835","0.255","MOLINETE",NULL
"220","AN532","1990-10-23","0.21","0.058","0.443","0.092","MOLINETE",NULL
"221","AN533","1990-10-23","0.66","0.617","0.209","2.401","MOLINETE","C ATERRADO"
"222","AN533","1990-10-23","0.66","0.49","0.21","2.155","MOLINETE",NULL
"223","AN313","1990-11-02","0.17","0.163","0.66","0.245","MOLINETE",NULL
"224","AN314","1990-11-02","0.32","0.726","1.27","0.57","MOLINETE",NULL
"225","24073004","1990-11-07","0.81","0.292","0.199","1.831","MOLINETE",NULL
"226","24074012","1990-11-07","0","0.239","0.24","0.994","MOLINETE",NULL
"227","24076013","1990-11-07","0.12","0.01","0.297","0.04","MOLINETE","CANAL"
"228","24083003","1990-11-12","0.11","0.151","0.859","0.22","MOLINETE","ESTACION DE AFOROS"
"229","25081039","1990-11-12","0.13","0.056","0.9","0.078","MOLINETE","CANAL"
"230","25066021","1990-11-14","0","0.021","0.13","0.134","MOLINETE",NULL
"231","25066036","1990-11-14","0","0.026","0.27","0.101","MOLINETE",NULL
"232","AN421","1990-11-16","0.31","0.068","0.34","0.201","MOLINETE",NULL
"233","AN422","1990-11-16","0.38","0.067","0.08","0.857","MOLINETE",NULL
"234","AN314","1990-11-19","0.37","0.729","1.43","0.506","MOLINETE",NULL
"235","23087006","1990-11-19","0","0.035","0.54","0.062","MOLINETE",NULL
"236","23092008","1990-11-19","0","0.015","0.41","0.036","MOLINETE",NULL
"237","23094002","1990-11-19","0","0.038","0.15","0.233","MOLINETE",NULL
"238","AN533","1990-11-27","0.28","0.93","0.81","1.17","MOLINETE",NULL
"239","AN313","1990-11-28","0.54","1.202","0.59","2.103","MOLINETE",NULL
"240","AN314","1990-11-28","0.57","2.206","0.98","2.424","MOLINETE",NULL
"241","AN322","1990-11-28","0.57","1.847","0.74","2.528","MOLINETE",NULL
"242","AN331","1990-11-28","0.2","0.072","0.37","0.192","MOLINETE",NULL
"243","AN4311","1990-11-28","0.2","4.436","0.85","5.513","MOLINETE",NULL
"244","AN520","1990-12-20","0.39","0.664","1.19","0.558","MOLINETE",NULL
"245","AN530","1990-12-20","0.35","0.674","0.39","1.307","MOLINETE",NULL
"246","AN532","1990-12-20","0.38","0.316","1.59","0.199","MOLINETE",NULL
"247","AN533","1990-12-20","0.25","0.487","0.76","0.661","MOLINETE",NULL
"248","AN421","1991-01-02","0.4","0.489","0.65","0.81","MOLINETE",NULL
"249","AN422","1991-01-02","0.25","0.421","0.37","1.22","MOLINETE",NULL
"250","AN520","1991-01-03","0.64","2.172","0.96","2.298","MOLINETE",NULL
"251","AN530","1991-01-03","0.45","1.964","0.62","3.139","MOLINETE",NULL
"252","AN532","1991-01-03","0.4","1.062","0.57","1.809","MOLINETE",NULL
"253","AN533","1991-01-03","0.36","1.827","0.95","2.053","MOLINETE",NULL
"254","AN422","1991-01-14","0.36","0.117","0.17","0.646","MOLINETE",NULL
"255","25062064","1991-01-15","0.81","0.72","0.67","1.085","MOLINETE",NULL
"256","25063012","1991-01-15","0.54","0.118","0.5","0.233","MOLINETE",NULL
"257","AN421","1991-02-11","0.41","0.114","0.14","0.798","MOLINETE","Aguas arriba"
"258","AN421","1991-02-11","0.41","0.139","0.31","0.303","MOLINETE","Aguas abajo"
"259","AN422","1991-02-11","0.61","0.103","0.21","0.484","MOLINETE","A. arriba"
"260","AN422","1991-02-11","0.61","0.178","0.32","0.804","MOLINETE","A. abajo"
"261","AN4311","1991-02-12","0.11","1.22","0.5","2.442","MOLINETE",NULL
"262","AN434","1991-02-12","0.74","0.951","0.14","6.794","MOLINETE",NULL
"263","AN439","1991-02-12","0.38","4.178","0.69","5.583","MOLINETE",NULL
"264","AN421","1991-02-19","0.43","0.459","0.55","0.75","MOLINETE","Aguas arriba"
"265","AN421","1991-02-19","0.43","0.336","0.35","1.003","MOLINETE","Aguas abajo"
"266","AN422","1991-02-19","0.43","0.438","0.35","1.059","MOLINETE","A. arriba"
"267","AN422","1991-02-19","0.43","0.301","0.37","0.763","MOLINETE","A. abajo"
"268","AN313","1991-02-28","0.72","7.571","1.06","8.232","FLOTADOR",NULL
"269","AN314","1991-02-28","0.65","3.566","0.93","8.448","MOLINETE",NULL
"270","AN421","1991-03-01","0.39","0.201","0.45","0.437","MOLINETE","Aguas arriba"
"271","AN421","1991-03-01","0.37","0.198","0.35","0.549","MOLINETE","Aguas abajo"
"272","AN422","1991-03-01","0.4","0.154","0.2","0.708","MOLINETE","A. arriba"
"273","AN422","1991-03-01","0.4","0.174","0.27","0.727","MOLINETE","A. abajo"
"274","AN520","1991-03-01","0.49","0.8","1.26","0.63","MOLINETE",NULL
"275","AN530","1991-03-01","0.3","0.605","0.31","1.856","MOLINETE",NULL
"276","AN532","1991-03-01","0.44","0.34","2","0.17","MOLINETE",NULL
"277","AN533","1991-03-01","0.26","0.816","0.11","7.117","MOLINETE",NULL
"278","23087006","1991-03-05","0.25","0.185","1.15","0.162","MOLINETE",NULL
"279","23092008","1991-03-05","0.16","0.038","0.2","0.196","MOLINETE",NULL
"280","23094002","1991-03-05","0.81","0.048","0.787","0.076","MOLINETE",NULL
"281","AN322","1991-03-06","0.58","2.59","0.85","2.893","MOLINETE",NULL
"282","24081009","1991-03-06","0","1.53","0.36","4.355","MOLINETE",NULL
"283","AN421","1991-03-21","0.39","0.182","0.4","0.445","MOLINETE","Aguas arriba"
"284","AN421","1991-03-21","0.39","0.177","0.24","0.674","MOLINETE","Aguas abajo"
"285","AN422","1991-03-21","0.4","0.161","0.18","0.839","MOLINETE","A. arriba"
"286","AN422","1991-03-21","0.4","0.181","0.21","0.822","MOLINETE","A. abajo"
"287","25067016","1991-05-08","0","0.152","0.5","0.314","MOLINETE",NULL
"288","25067999","1991-05-08","0","1.084","0.65","1.671","MOLINETE",NULL
"289","25068001","1991-05-08","0","0.444","0.39","1.023","MOLINETE",NULL
"290","25068005","1991-05-08","0","0.291","1.4","0.207","MOLINETE",NULL
"291","AN421","1991-05-14","0.43","0.612","0.78","0.738","MOLINETE","Aguas arriba"
"292","AN421","1991-05-14","0.43","0.626","0.51","1.192","MOLINETE","Aguas abajo"
"293","AN422","1991-05-14","0.54","1.045","1","0.98","MOLINETE","A. arriba"
"294","AN422","1991-05-14","0.54","0.925","0.74","1.209","MOLINETE","A. abajo"
"295","AN540","1991-05-14","0.26","0.707","0.5","1.405","MOLINETE",NULL
"296","AN4311","1991-05-24","0.15","1.645","0.45","2.966","MOLINETE",NULL
"297","AN433","1991-05-24","0.45","5.836","1.11","4.889","MOLINETE",NULL
"298","AN434","1991-05-24",NULL,"1.132","0.22","4.898","MOLINETE",NULL
"299","AN439","1991-05-24","0.39","4.456","0.82","5.352","MOLINETE",NULL
"300","24074005","1991-06-10","0","0.211","0.19","1.262","MOLINETE",NULL
"301","25065028","1991-06-10","0","0.037","0.46","0.082","MOLINETE",NULL
"302","25066021","1991-06-10","0","0.036","0.11","0.363","MOLINETE",NULL
"303","25066036","1991-06-10","0","0.066","0.14","0.537","MOLINETE",NULL
"304","25071025","1991-06-10","0","0.027","0.17","0.161","MOLINETE",NULL
"305","25073014","1991-06-10","0","1.13","0","0","MOLINETE","2 l/s FUERA DE AFORO"
"306","24074012","1991-06-11","0","0.12","0.31","0.371","MOLINETE",NULL
"307","23087006","1991-06-12","0","0.429","0.8","0.482","MOLINETE",NULL
"308","23092008","1991-06-12","0","0.164","0.63","0.255","MOLINETE",NULL
"309","23094002","1991-06-12","0","0.11","1.03","0.106","MOLINETE",NULL
"310","24067036","1991-06-12","0","0.291","0.14","2.083","MOLINETE",NULL
"311","24081009","1991-06-12","0","0.758","0.23","3.345","MOLINETE",NULL
"312","AN313","1991-06-28","0.6","1.402","0.23","6.013","MOLINETE",NULL
"313","AN314","1991-06-28","0.6","2.52","0.82","2.905","MOLINETE",NULL
"314","AN313","1991-07-23","0.4","0.504","1.05","0.473","MOLINETE",NULL
"315","AN314","1991-07-23","0.55","1.156","0.34","3.223","MOLINETE",NULL
"316","AN421","1991-08-01","0.33","0.078","0.12","0.646","MOLINETE","Aguas arriba"
"317","AN421","1991-08-01","0.33","0.061","0.12","0.492","MOLINETE","Aguas abajo"
"318","AN422","1991-08-01","0.36","0.062","0.08","0.788","MOLINETE","A. arriba"
"319","AN422","1991-08-01","0.36","0.042","0.19","0.235","MOLINETE","A. abajo"
"320","AN941","1991-08-01","0.1","2.385","0.89","2.638","MOLINETE",NULL
"321","23087006","1991-08-14","0.7","0.127","0.95","0.131","MOLINETE",NULL
"322","23092008","1991-08-14","0","0.08","0.3","0.253","MOLINETE",NULL
"323","23094002","1991-08-14","0","0.089","0.37","0.222","MOLINETE",NULL
"324","24083003","1991-08-14","0","0.143","0.21","0.709","MOLINETE",NULL
"325","AN421","1991-08-19",NULL,"0.059","0.11","0.532","MOLINETE","Aguas arriba"
"326","AN422","1991-08-19","0.33","0.015","0.19","0.077","MOLINETE",NULL
"327","26071018","1991-08-27",NULL,"0.01",NULL,NULL,"MOLINETE","DIFERENCIAL"
"328","26071218","1991-08-27",NULL,"0.091","0.51","0.178","MOLINETE",NULL
